Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 2:16,
Prep Recipe Name,Charred Onion Ranch,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sauces,,1 ea,10 lb,5 Days,100%, mins, mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$64.40312500004174,$0.00,$64.40312500004174,$6.440312500004174/ea,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Vinegar, White",Product,3 qt,100%,100%,$2.53750000000323,,
"Dairy, Egg",Product,40 each,100%,100%,$13,,
"Dry Goods, Oil, Canola, Salad -v",Product,3 gal,100%,100%,$30.2350000000385,,
"Dry Goods, Black Pepper, Ground",Product,3 cup,100%,100%,$7.155,,
"Dry Goods, Salt, Kosher",Product,3 cup,100%,100%,$5.490625,,
"Produce, Onions, Yellow",Product,15 lb,100%,100%,$5.985,,
